,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3559774,2021-05-25 09:20:00,Setka Cup,Serhii Hot,Mykola Serediuk,Serhii Hot,4.333,Serhii Hot,3-1,4.333,1
3559798,2021-05-25 11:55:00,Setka Cup,Artem Lisechko,Evgeny Ivanov,Evgeny Ivanov,3.5,Artem Lisechko,3-1,0.0,1
3559903,2021-05-25 10:20:00,Setka Cup,Oleksandr Zhyrnov,Vyacheslav Isakov,Oleksandr Zhyrnov,3.25,Vyacheslav Isakov,2-3,0.0,1
3559952,2021-05-25 09:30:00,Setka Cup Women,Anastasiia Dudnyk,Nadiia Harmash,Anastasiia Dudnyk,3.25,Anastasiia Dudnyk,3-1,3.25,1
3559955,2021-05-25 11:30:00,Setka Cup Women,Nadiia Harmash,Natalya Schekotikhina,Natalya Schekotikhina,4.333,Nadiia Harmash,3-1,0.0,1
3561128,2021-05-25 15:05:00,Setka Cup,Borys Kostiuk,Andrii Shcherbak,Andrii Shcherbak,3.25,Andrii Shcherbak,2-3,3.25,1
3561298,2021-05-25 16:10:00,Setka Cup,Andrii Dekhtiarenko,Serhii Burdelnyi,Serhii Burdelnyi,3.4,Serhii Burdelnyi,1-3,3.4,1
3561336,2021-05-25 15:50:00,Setka Cup,Yevhen Trunov,Pavlo Babenko,Yevhen Trunov,4.333,Pavlo Babenko,0-3,0.0,1
3561567,2021-05-25 21:15:00,Liga Pro,Igor Mihaylov,Anton Gerasimov,Anton Gerasimov,3.75,Igor Mihaylov,3-1,0.0,1
3562557,2021-05-26 10:30:00,Liga Pro,Maksim Dukhin,Yuriy Zaycev,Yuriy Zaycev,3.75,Maksim Dukhin,3-2,0.0,1
3562845,2021-05-26 08:35:00,Setka Cup,Valerii Lukianevych,Oleksandr Khoroshun,Valerii Lukianevych,5.0,Valerii Lukianevych,3-0,5.0,1
